Name String,Filename,Description,CLSID Description,CLSID,Product Name,File Description,File Version,Company Name,File Modified Time,File Created Time,Standalone
Application Control Policies Configuration SnapIn,C:\WINDOWS\system32\SrpUxNativeSnapIn.dll,,AppLocker Configuration Tool,{C4457F51-993A-4b98-A19B-EC2B4F0DA087},Microsoft® Windows® Operating System,Application Control Policies Group Policy Editor Extension,10.0.18362.1 (WinBuild.160101.0800),Microsoft Corporation,2019-03-19 6:23:19 AM,2019-03-19 4:59:30 AM,No
ASP.NET Management Extension,C:\Windows\Microsoft.NET\Framework64\v2.0.50727\MmcAspExt.dll,,,{fedb2179-2335-48f1-aa28-5cda35a2b36d},Microsoft® .NET Framework,Microsoft ASP.NET Support DLL,2.0.50727.9136 (WinRelRS6.050727-9100),Microsoft Corporation,2019-09-13 5:27:45 AM,2019-09-13 5:27:45 AM,No
Authorization Manager,C:\WINDOWS\system32\azroleui.dll,,,{1F5EEC01-1214-4D94-80C5-4BDCD2014DDD},Microsoft® Windows® Operating System,Authorization Manager,10.0.18362.1 (WinBuild.160101.0800),Microsoft Corporation,2019-03-19 4:45:47 AM,2019-03-19 4:45:47 AM,Yes
Certificates,C:\WINDOWS\system32\certmgr.dll,,,{53D6AB1D-2488-11D1-A28C-00C04FB94F17},Microsoft® Windows® Operating System,Certificates snap-in,10.0.18362.1 (WinBuild.160101.0800),Microsoft Corporation,2019-03-19 4:45:47 AM,2019-03-19 4:45:47 AM,Yes
Classic Event Viewer,C:\WINDOWS\system32\els.dll,,,{975797FC-4E2A-11D0-B702-00C04FD8DBF7},Microsoft® Windows® Operating System,Event Viewer Snapin,10.0.18362.1 (WinBuild.160101.0800),Microsoft Corporation,2019-03-19 4:45:38 AM,2019-03-19 4:45:38 AM,No
Classic Event Viewer Extension,C:\WINDOWS\system32\els.dll,,,{394C052E-B830-11D0-9A86-00C04FD8DBF7},Microsoft® Windows® Operating System,Event Viewer Snapin,10.0.18362.1 (WinBuild.160101.0800),Microsoft Corporation,2019-03-19 4:45:38 AM,2019-03-19 4:45:38 AM,No
Component Services,C:\Windows\System32\comsnap.dll,,ComponentDataImpl Class,{C9BC92DF-5B9A-11D1-8F00-00C04FC2C17B},Microsoft® Windows® Operating System,COM+ Explorer MMC Snapin,2001.12.10941.16384 (WinBuild.160101.0800),Microsoft Corporation,2019-03-19 4:44:30 AM,2019-03-19 4:44:30 AM,Yes
Component Services,C:\Windows\System32\comsnap.dll,,ComponentServicesExtensionSnapin Class,{DFFFAE4D-F0CF-46CD-9586-FE891237AB8A},Microsoft® Windows® Operating System,COM+ Explorer MMC Snapin,2001.12.10941.16384 (WinBuild.160101.0800),Microsoft Corporation,2019-03-19 4:44:30 AM,2019-03-19 4:44:30 AM,No
Computer Management,C:\Windows\System32\mycomput.dll,,Computer Management 1.0 Object,{58221C67-EA27-11CF-ADCF-00AA00A80033},Microsoft® Windows® Operating System,Computer Management,10.0.18362.1 (WinBuild.160101.0800),Microsoft Corporation,2019-03-19 4:45:38 AM,2019-03-19 4:45:38 AM,Yes
Device Manager,C:\WINDOWS\System32\devmgr.dll,,Device Manager,{74246bfc-4c96-11d0-abef-0020af6b0b7a},Microsoft® Windows® Operating System,Device Manager MMC Snapin,10.0.18362.1 (WinBuild.160101.0800),Microsoft Corporation,2019-03-19 4:45:00 AM,2019-03-19 4:45:00 AM,Yes
Device Manager extension,C:\WINDOWS\System32\devmgr.dll,,Device Manager extension,{90087284-d6d6-11d0-8353-00a0c90640bf},Microsoft® Windows® Operating System,Device Manager MMC Snapin,10.0.18362.1 (WinBuild.160101.0800),Microsoft Corporation,2019-03-19 4:45:00 AM,2019-03-19 4:45:00 AM,No
DFS Management,,Manages DFS Namespaces and DFS Replication.,,FX:{671ee405-c969-4af9-ad1b-65e96b3b9a10},,,,,,,Yes
DFS Management Extension,,Extension snapin for managing DFS Namespaces and DFS Replication.,,FX:{f78fbadd-c21a-4e0a-b53d-c879a9c8f002},,,,,,,No
Disk Management,C:\WINDOWS\System32\dmdskmgr.dll,,DiskManagement.SnapInComponent,{dbfca500-8c31-11d0-aa2c-00a0c92749a3},Microsoft® Windows® Operating System,Disk Management Snap-in Support Library,10.0.18362.1 (WinBuild.160101.0800),Microsoft Corporation,2019-03-19 4:43:58 AM,2019-03-19 4:43:58 AM,Yes
Disk Management Extension,C:\WINDOWS\System32\dmdskmgr.dll,,DiskManagement.SnapInExtension,{8EAD3A12-B2C1-11d0-83AA-00A0C92C9D5D},Microsoft® Windows® Operating System,Disk Management Snap-in Support Library,10.0.18362.1 (WinBuild.160101.0800),Microsoft Corporation,2019-03-19 4:43:58 AM,2019-03-19 4:43:58 AM,No
DTC MMC Property-sheet extension,C:\WINDOWS\system32\msdtcuiu.dll,,DTC MMC Property-sheet extension,{1f09b058-f3fd-4a9d-a8ba-a8a05f8fe283},Microsoft® Windows® Operating System,Microsoft Distributed Transaction Coordinator Administrative DLL,2001.12.10941.16384 (WinBuild.160101.0800),Microsoft Corporation,2019-03-19 4:45:35 AM,2019-03-19 4:45:35 AM,No
